                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     75,                0.85756,                0.58361,                0.94297,                 0.7577,                0.77855,                0.74929,                0.42634,                 1.9681,                 1.3089,                 1.8451,             0.00044576,             0.00044576,             0.00044576
                     76,                0.82664,                0.57419,                0.93466,                0.78154,                0.79286,                0.75441,                0.43775,                  1.982,                 1.3775,                 1.8777,             0.00042925,             0.00042925,             0.00042925
                     77,                0.81214,                  0.558,                0.92623,                0.79419,                 0.7658,                0.75428,                 0.4336,                 1.9537,                 1.3431,                 1.8332,             0.00041275,             0.00041275,             0.00041275
                     78,                0.86554,                 0.5813,                0.94324,                0.78242,                   0.75,                0.75005,                0.42832,                 1.9463,                 1.3774,                 1.8412,             0.00039625,             0.00039625,             0.00039625
                     79,                0.81533,                0.55742,                0.92893,                0.72642,                0.77143,                0.72637,                0.43445,                 1.9609,                 1.3454,                 1.7917,             0.00037974,             0.00037974,             0.00037974
                     80,                0.79197,                0.54457,                0.92916,                  0.809,                0.75714,                0.74807,                0.42542,                 2.0155,                 1.3919,                 1.9218,             0.00036324,             0.00036324,             0.00036324
                     81,                0.80294,                0.55065,                0.92014,                0.73631,                0.74286,                0.72716,                0.43197,                 1.9484,                 1.3582,                 1.8726,             0.00034674,             0.00034674,             0.00034674
                     82,                0.80675,                0.54889,                0.93316,                0.71572,                0.76601,                 0.7358,                0.42623,                 1.9776,                 1.4148,                 1.9188,             0.00033023,             0.00033023,             0.00033023
                     83,                0.80926,                0.55904,                 0.9274,                0.70299,                0.76466,                0.73972,                0.41939,                  2.032,                 1.4671,                 1.9513,             0.00031373,             0.00031373,             0.00031373
                     84,                0.78531,                0.53006,                0.91304,                0.74533,                0.74286,                0.72813,                0.42297,                 1.9941,                 1.4298,                 1.9347,             0.00029723,             0.00029723,             0.00029723
                     85,                0.77598,                0.53779,                0.91121,                0.74215,                0.78233,                 0.7497,                0.41563,                 2.0474,                  1.472,                 1.9337,             0.00028072,             0.00028072,             0.00028072
                     86,                0.78686,                0.53305,                0.92702,                0.72615,                0.79286,                0.73607,                0.43049,                 1.9693,                 1.4744,                 1.8637,             0.00026422,             0.00026422,             0.00026422
                     87,                0.75406,                0.52775,                0.91334,                0.71581,                0.79286,                0.74482,                0.42948,                 2.0009,                   1.52,                 1.8661,             0.00024772,             0.00024772,             0.00024772
                     88,                0.74909,                  0.509,                0.90369,                0.70834,                0.77143,                0.72554,                0.41875,                 1.9724,                 1.5296,                 1.8724,             0.00023121,             0.00023121,             0.00023121
                     89,                0.74273,                0.52121,                0.90818,                0.75322,                0.76429,                 0.7406,                0.43564,                 2.0695,                  1.381,                 2.0478,             0.00021471,             0.00021471,             0.00021471
                     90,                0.74166,                0.51475,                0.90702,                0.80512,                   0.75,                0.76318,                0.43595,                 2.1032,                 1.4082,                 2.1121,             0.00019821,             0.00019821,             0.00019821
                     91,                0.72612,                0.52377,                0.88847,                0.72267,                0.77143,                0.73537,                0.43258,                 2.0655,                  1.534,                 2.0625,              0.0001817,              0.0001817,              0.0001817
                     92,                0.72947,                0.51284,                0.89966,                0.73597,                0.74286,                0.71817,                0.41426,                 2.0564,                 1.4982,                 2.0545,              0.0001652,              0.0001652,              0.0001652
                     93,                  0.689,                0.49526,                0.88214,                0.75707,                0.76429,                0.73306,                0.42834,                 2.0553,                 1.3833,                 2.1044,              0.0001487,              0.0001487,              0.0001487
                     94,                0.66693,                 0.4853,                0.87466,                0.75859,                0.74286,                0.71901,                 0.4231,                 2.0768,                 1.4566,                 2.1477,             0.00013219,             0.00013219,             0.00013219
                     95,                 0.6397,                0.47183,                0.87709,                0.74067,                0.77143,                0.73314,                0.43389,                 2.0769,                 1.4224,                 2.1438,             0.00011569,             0.00011569,             0.00011569
                     96,                0.65404,                0.47215,                0.87513,                0.73052,                0.77143,                0.73329,                0.43491,                 2.0698,                 1.4678,                 2.1139,             9.9187e-05,             9.9187e-05,             9.9187e-05
                     97,                0.64075,                 0.4748,                0.87011,                0.72135,                0.78571,                0.74135,                 0.4401,                 2.0684,                 1.4059,                 2.1118,             8.2683e-05,             8.2683e-05,             8.2683e-05
                     98,                0.64198,                0.46961,                0.87182,                0.78879,                0.73571,                0.73829,                0.43479,                 2.0476,                 1.4836,                 2.0929,              6.618e-05,              6.618e-05,              6.618e-05
                     99,                 0.6241,                0.46297,                0.87685,                0.73914,                0.77511,                0.74091,                0.43921,                 2.0918,                 1.3771,                 2.1759,             4.9677e-05,             4.9677e-05,             4.9677e-05
                    100,                0.62331,                0.46366,                0.86699,                 0.7879,                0.74286,                0.74112,                0.43884,                 2.0263,                  1.432,                 2.0633,             3.3173e-05,             3.3173e-05,             3.3173e-05
